Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm04) 	08/09/2023 	_x86_64_	(32 CPU)

11:13:45 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:21:39 PM 502248456 500444268  25265616      4.79        24  10199060 146941316     27.42   2746232  14944004         0
11:21:41 PM 502244224 500440048  25269848      4.79        24  10199120 146941316     27.42   2746224  14947312         0
11:21:43 PM 502240708 500436552  25273364      4.79        24  10199060 147005708     27.43   2746212  14951232         0
11:21:45 PM 502237784 500433684  25276288      4.79        24  10199120 146845936     27.40   2746228  14954116         0
11:21:47 PM 502235108 500430884  25278964      4.79        24  10199060 146835860     27.40   2746220  14957440         0
11:21:49 PM 502231360 500427040  25282712      4.79        24  10199120 146744768     27.38   2746244  14961324         0
11:21:51 PM 502227428 500423164  25286644      4.79        24  10199120 146809160     27.39   2746252  14965008         0
11:21:53 PM 502224560 500420480  25289512      4.79        24  10199132 146823132     27.40   2746236  14966392         0
11:21:55 PM 502222720 500418664  25291352      4.79        24  10199068 146823132     27.40   2746220  14968520         0
11:21:57 PM 502220204 500416060  25293868      4.79        24  10199024 146794220     27.39   2746200  14971796         0
11:21:59 PM 502272788 500468688  25241284      4.78        24  10199188 146852308     27.40   2746268  14919620         0
11:22:01 PM 502254272 500450072  25259800      4.79        24  10199068 146695912     27.37   2746212  14938192         0
11:22:03 PM 502250076 500445916  25263996      4.79        24  10199632 146760304     27.39   2746268  14942188         0
11:22:05 PM 502228152 500424020  25285920      4.79        24  10199124 146760304     27.39   2746248  14963576         0
11:22:07 PM 502225192 500421028  25288880      4.79        24  10199124 146749040     27.38   2746272  14967236         0
11:22:09 PM 502223640 500419416  25290432      4.79        24  10199064 146671000     27.37   2746220  14968612         0
11:22:11 PM 502220368 500416120  25293704      4.79        24  10199004 146786728     27.39   2746212  14972092         0
11:22:13 PM 502218572 500414416  25295500      4.80        24  10199064 146786728     27.39   2746228  14973784         0
11:22:15 PM 502216524 500412420  25297548      4.80        24  10199064 146786728     27.39   2746220  14975888         0
11:22:17 PM 502213560 500409560  25300512      4.80        24  10199064 146915512     27.41   2746236  14978204         0
11:22:19 PM 502211088 500407104  25302984      4.80        24  10199124 146839520     27.40   2746268  14980504         0
11:22:21 PM 502189672 500385676  25324400      4.80        24  10218160 146879264     27.41   2746196  15001968         0
11:22:23 PM 502205548 500401628  25308524      4.80        24  10199128 146718604     27.38   2746228  14985564         0
11:22:25 PM 502204140 500400272  25309932      4.80        24  10199068 146782996     27.39   2746228  14987624         0
11:22:27 PM 502201344 500397444  25312728      4.80        24  10199128 146749512     27.38   2746236  14990216         0
11:22:29 PM 502199308 500395368  25314764      4.80        24  10199068 146749512     27.38   2746228  14992516         0
