[1] NVIDIA A30 | 53°C,  ?? %,  97 % (E:   0 %  D:   0 %),  139 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 59°C,  ?? %,  97 % (E:   0 %  D:   0 %),  154 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 53°C,  ?? %,  96 % (E:   0 %  D:   0 %),  157 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 59°C,  ?? %,  96 % (E:   0 %  D:   0 %),  142 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 53°C,  ?? %,  96 % (E:   0 %  D:   0 %),  144 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 60°C,  ?? %,  96 % (E:   0 %  D:   0 %),  166 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 53°C,  ?? %,  96 % (E:   0 %  D:   0 %),  163 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 60°C,  ?? %,  96 % (E:   0 %  D:   0 %),  171 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 53°C,  ?? %,  96 % (E:   0 %  D:   0 %),  166 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 60°C,  ?? %,  97 % (E:   0 %  D:   0 %),  169 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 53°C,  ?? %,  96 % (E:   0 %  D:   0 %),  170 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 60°C,  ?? %,  96 % (E:   0 %  D:   0 %),  141 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 53°C,  ?? %,  96 % (E:   0 %  D:   0 %),  173 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
