Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm03) 	08/10/2023 	_x86_64_	(32 CPU)

11:55:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:04:27 PM     all     10.43      0.00      1.65      0.00      0.00     87.93
12:04:29 PM     all     10.16      0.00      1.58      0.00      0.00     88.26
12:04:31 PM     all     10.30      0.00      1.77      0.00      0.00     87.94
12:04:33 PM     all     10.91      0.00      1.58      0.00      0.00     87.51
12:04:35 PM     all      9.93      0.00      1.39      0.00      0.00     88.68
12:04:37 PM     all     10.79      0.00      1.64      0.00      0.00     87.56
12:04:39 PM     all     10.14      0.00      1.50      0.00      0.00     88.35
12:04:41 PM     all     10.44      0.00      1.25      0.00      0.00     88.31
12:04:43 PM     all     10.32      0.00      1.85      0.00      0.00     87.83
12:04:45 PM     all     10.09      0.00      1.38      0.00      0.00     88.53
12:04:47 PM     all     10.16      0.00      1.52      0.00      0.00     88.32
12:04:49 PM     all     10.16      0.00      1.64      0.00      0.00     88.20
12:04:51 PM     all     10.18      0.00      1.45      0.00      0.00     88.36
12:04:53 PM     all     10.33      0.00      1.68      0.00      0.00     87.99
12:04:55 PM     all     10.62      0.00      1.44      0.00      0.00     87.94
12:04:57 PM     all     10.44      0.00      1.75      0.00      0.00     87.81
12:04:59 PM     all     10.38      0.00      1.68      0.00      0.00     87.95
12:05:01 PM     all      9.96      0.00      1.28      0.00      0.00     88.76
12:05:03 PM     all     10.50      0.00      1.71      0.00      0.00     87.79
12:05:05 PM     all     10.08      0.00      1.45      0.00      0.00     88.47
12:05:07 PM     all     10.00      0.00      1.30      0.00      0.00     88.70
12:05:09 PM     all     10.34      0.00      1.94      0.00      0.00     87.72
12:05:11 PM     all     10.02      0.00      1.42      0.00      0.00     88.56
12:05:13 PM     all     10.20      0.00      1.63      0.00      0.00     88.17
12:05:15 PM     all     10.68      0.00      1.50      0.00      0.00     87.82
12:05:17 PM     all     10.16      0.00      1.38      0.00      0.00     88.46
12:05:19 PM     all     10.65      0.00      1.80      0.00      0.00     87.55
12:05:21 PM     all     10.12      0.00      1.36      0.00      0.00     88.52
12:05:23 PM     all     10.98      0.00      1.77      0.00      0.00     87.25
12:05:25 PM     all     10.09      0.00      1.36      0.00      0.00     88.55
12:05:27 PM     all     10.34      0.00      1.47      0.00      0.00     88.19
12:05:29 PM     all     10.30      0.00      1.78      0.00      0.00     87.92
12:05:31 PM     all     10.15      0.00      1.42      0.00      0.00     88.42
12:05:33 PM     all     10.90      0.00      1.57      0.00      0.00     87.53
12:05:35 PM     all     10.15      0.00      1.56      0.00      0.00     88.29
12:05:37 PM     all     10.17      0.00      1.41      0.00      0.00     88.42
12:05:39 PM     all     10.16      0.00      1.74      0.00      0.00     88.10
12:05:41 PM     all     10.05      0.00      1.42      0.00      0.00     88.52
12:05:43 PM     all     10.58      0.00      1.55      0.00      0.00     87.87
12:05:45 PM     all     10.21      0.00      1.54      0.00      0.00     88.25
12:05:47 PM     all     10.87      0.00      1.61      0.00      0.00     87.52
12:05:49 PM     all     10.31      0.00      1.64      0.00      0.00     88.05
12:05:51 PM     all     10.09      0.00      1.38      0.00      0.00     88.53
12:05:53 PM     all     10.14      0.00      1.64      0.00      0.00     88.21
12:05:55 PM     all     10.67      0.00      1.67      0.00      0.00     87.66
12:05:57 PM     all     10.12      0.00      1.43      0.00      0.00     88.45
12:05:59 PM     all     10.49      0.00      2.01      0.00      0.00     87.50
12:06:01 PM     all     10.07      0.00      1.60      0.00      0.00     88.33
12:06:03 PM     all     10.40      0.00      1.58      0.00      0.00     88.02
12:06:05 PM     all     10.63      0.00      1.61      0.00      0.00     87.76
12:06:07 PM     all     10.23      0.00      1.61      0.00      0.00     88.16
12:06:09 PM     all     10.42      0.00      1.89      0.00      0.00     87.69
12:06:11 PM     all      9.99      0.00      1.42      0.00      0.00     88.58
12:06:13 PM     all     11.03      0.00      1.72      0.00      0.00     87.25
12:06:15 PM     all     10.18      0.00      1.78      0.00      0.00     88.03
12:06:17 PM     all     10.34      0.00      1.66      0.00      0.00     88.00
12:06:19 PM     all     10.29      0.00      1.78      0.00      0.00     87.92
12:06:21 PM     all     10.66      0.00      1.47      0.00      0.00     87.87
12:06:23 PM     all     10.22      0.00      1.63      0.00      0.00     88.16
12:06:25 PM     all     10.11      0.00      1.63      0.00      0.00     88.26
12:06:27 PM     all     10.38      0.00      1.46      0.00      0.00     88.16
12:06:29 PM     all     10.32      0.00      1.56      0.00      0.00     88.12
12:06:31 PM     all     10.73      0.00      1.50      0.00      0.00     87.77
12:06:33 PM     all     10.26      0.00      1.38      0.00      0.00     88.37
12:06:35 PM     all     10.27      0.00      1.44      0.00      0.00     88.29
12:06:37 PM     all     10.62      0.00      2.77      0.00      0.00     86.61
12:06:39 PM     all     12.67      0.00      3.34      0.00      0.00     83.99
12:06:41 PM     all     10.29      0.00      1.55      0.00      0.00     88.16
12:06:43 PM     all     10.01      0.00      1.36      0.00      0.00     88.63
12:06:45 PM     all     10.18      0.00      1.88      0.00      0.00     87.95
12:06:47 PM     all     10.11      0.00      1.42      0.00      0.00     88.46
12:06:49 PM     all     10.85      0.00      1.58      0.00      0.00     87.57
12:06:51 PM     all     10.10      0.00      1.28      0.00      0.00     88.62
12:06:53 PM     all     10.20      0.00      1.59      0.00      0.00     88.20
12:06:55 PM     all     10.21      0.00      1.64      0.00      0.00     88.15
12:06:57 PM     all     10.87      0.00      1.36      0.00      0.00     87.77
12:06:59 PM     all     10.18      0.00      1.56      0.00      0.00     88.25
12:07:01 PM     all     10.11      0.00      1.35      0.00      0.00     88.55
12:07:03 PM     all     10.09      0.00      1.69      0.00      0.00     88.22
12:07:05 PM     all     10.18      0.00      1.41      0.00      0.00     88.42
12:07:07 PM     all     10.96      0.00      1.74      0.00      0.00     87.30
12:07:09 PM     all     10.10      0.00      1.44      0.00      0.00     88.46
12:07:11 PM     all     10.11      0.00      1.28      0.00      0.00     88.61
12:07:13 PM     all     10.46      0.00      1.91      0.00      0.00     87.63
12:07:15 PM     all     10.01      0.00      1.16      0.00      0.00     88.84
12:07:17 PM     all     10.21      0.00      1.63      0.00      0.00     88.17
12:07:19 PM     all     10.73      0.00      1.81      0.00      0.00     87.45
12:07:21 PM     all      9.95      0.00      1.33      0.00      0.00     88.72
12:07:23 PM     all     10.36      0.00      1.64      0.00      0.00     88.00
12:07:25 PM     all     10.71      0.00      1.41      0.00      0.00     87.88
12:07:27 PM     all     10.39      0.00      1.57      0.00      0.00     88.04
12:07:29 PM     all     10.20      0.00      1.58      0.00      0.00     88.23
12:07:31 PM     all     10.21      0.00      1.41      0.00      0.00     88.38
12:07:33 PM     all     11.29      0.00      2.10      0.00      0.00     86.61
12:07:35 PM     all      9.93      0.00      1.27      0.00      0.00     88.80
12:07:37 PM     all     10.37      0.00      1.55      0.00      0.00     88.08
12:07:39 PM     all     10.28      0.00      1.58      0.00      0.00     88.13
12:07:41 PM     all      9.81      0.00      1.28      0.00      0.00     88.91
12:07:43 PM     all     10.91      0.00      2.00      0.00      0.00     87.08
12:07:45 PM     all     10.12      0.00      1.52      0.00      0.00     88.36
12:07:47 PM     all     10.16      0.00      1.33      0.00      0.00     88.51
12:07:49 PM     all     10.32      0.00      1.53      0.00      0.00     88.15
12:07:51 PM     all     10.04      0.00      1.41      0.00      0.00     88.55
12:07:53 PM     all     10.81      0.00      1.75      0.00      0.00     87.44
12:07:55 PM     all      9.99      0.00      1.44      0.00      0.00     88.57
12:07:57 PM     all     10.30      0.00      1.78      0.00      0.00     87.92
12:07:59 PM     all     10.37      0.00      1.57      0.00      0.00     88.07
12:08:01 PM     all      9.94      0.00      1.25      0.00      0.00     88.81
12:08:03 PM     all     10.39      0.00      1.83      0.00      0.00     87.78
12:08:05 PM     all     10.69      0.00      1.56      0.00      0.00     87.75
12:08:07 PM     all     10.00      0.00      1.17      0.00      0.00     88.83
12:08:09 PM     all     10.36      0.00      1.75      0.00      0.00     87.89
12:08:11 PM     all     10.10      0.00      1.39      0.00      0.00     88.51
12:08:13 PM     all     10.19      0.00      1.52      0.00      0.00     88.29
12:08:15 PM     all     10.35      0.00      1.50      0.00      0.00     88.15
12:08:17 PM     all     10.27      0.00      1.57      0.00      0.00     88.17
12:08:19 PM     all     10.21      0.00      1.49      0.00      0.00     88.31
12:08:21 PM     all     10.75      0.00      1.50      0.00      0.00     87.75
12:08:23 PM     all     10.32      0.00      1.71      0.00      0.00     87.97
12:08:25 PM     all      9.90      0.00      1.30      0.00      0.00     88.80
12:08:27 PM     all     10.33      0.00      1.57      0.00      0.00     88.10
12:08:29 PM     all     11.20      0.00      1.72      0.00      0.00     87.08
12:08:31 PM     all     10.06      0.00      1.53      0.00      0.00     88.41
12:08:33 PM     all     10.23      0.00      1.44      0.00      0.00     88.33
12:08:35 PM     all     10.10      0.00      1.50      0.00      0.00     88.40
12:08:37 PM     all     10.72      0.00      1.47      0.00      0.00     87.81
12:08:39 PM     all     10.15      0.00      1.47      0.00      0.00     88.37
12:08:41 PM     all     10.09      0.00      1.47      0.00      0.00     88.44
12:08:43 PM     all     10.30      0.00      1.63      0.00      0.00     88.07
12:08:45 PM     all      9.99      0.00      1.27      0.00      0.00     88.74
12:08:47 PM     all     10.10      0.00      1.53      0.00      0.00     88.36
12:08:49 PM     all     11.14      0.00      1.60      0.00      0.00     87.26
