Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm03) 	08/10/2023 	_x86_64_	(32 CPU)

11:55:57 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
12:02:03 PM 494089792 495182992  33424280      6.34        24  14220708  71747596     13.39   3554268  21736984         0
12:02:05 PM 494085320 495178496  33428752      6.34        24  14220848  71645140     13.37   3554212  21741788         0
12:02:07 PM 494041772 495134872  33472300      6.35        24  14258212  71686444     13.38   3554124  21785612         0
12:02:09 PM 494073828 495167004  33440244      6.34        24  14220740  71872724     13.41   3554088  21753812         0
12:02:11 PM 494030424 495123488  33483648      6.35        24  14258204  71824788     13.40   3554104  21797116         0
12:02:13 PM 494062156 495155200  33451916      6.34        24  14220700  71492980     13.34   3554056  21765260         0
12:02:15 PM 494059072 495152144  33455000      6.34        24  14220708  71700376     13.38   3554064  21769384         0
12:02:17 PM 494015856 495108900  33498216      6.35        24  14258512  71727816     13.38   3554056  21812280         0
12:02:19 PM 494048256 495141240  33465816      6.34        24  14220684  71743160     13.39   3554036  21780020         0
12:02:21 PM 494006348 495099320  33507724      6.35        24  14257984  71707744     13.38   3554028  21821644         0
12:02:23 PM 494035656 495128636  33478416      6.35        24  14220516  71895756     13.42   3554076  21791792         0
12:02:25 PM 494032252 495125232  33481820      6.35        24  14220672  71569960     13.36   3554020  21795764         0
12:02:27 PM 493988300 495081160  33525772      6.36        24  14258136  71810988     13.40   3554036  21838988         0
12:02:29 PM 494021444 495114400  33492628      6.35        24  14220648  71638044     13.37   3553996  21805740         0
12:02:31 PM 493977796 495070708  33536276      6.36        24  14258116  71583176     13.36   3554008  21849492         0
12:02:33 PM 494010608 495103420  33503464      6.35        24  14220472  71755660     13.39   3553996  21816828         0
12:02:35 PM 494005816 495098652  33508256      6.35        24  14220644  71468544     13.34   3554004  21821440         0
12:02:37 PM 493963948 495056812  33550124      6.36        24  14258120  71620964     13.36   3554012  21863804         0
12:02:39 PM 493994732 495086592  33519340      6.35        24  14219848  71479196     13.34   3553040  21833984         0
12:02:41 PM 493953608 495045448  33560464      6.36        24  14257124  71543188     13.35   3553012  21875808         0
12:02:43 PM 493983320 495075040  33530752      6.36        24  14219580  71733128     13.39   3552976  21845152         0
12:02:45 PM 493980268 495071956  33533804      6.36        24  14219748  71469256     13.34   3552916  21849216         0
12:02:47 PM 493936312 495028012  33577760      6.37        24  14257044  71438456     13.33   3552956  21893012         0
12:02:49 PM 493970364 495062028  33543708      6.36        24  14219396  71644716     13.37   3552904  21859224         0
12:02:51 PM 493925840 495017568  33588232      6.37        24  14257040  71596504     13.36   3552944  21903388         0
12:02:53 PM 493958768 495050332  33555304      6.36        24  14219308  71557196     13.35   3552832  21870848         0
12:02:55 PM 493953536 495045076  33560536      6.36        24  14219640  71640784     13.37   3552844  21876584         0
12:02:57 PM 493908856 495000392  33605216      6.37        24  14257276  71669184     13.37   3552848  21920040         0
12:02:59 PM 493943560 495035012  33570512      6.36        24  14219456  71576452     13.36   3552812  21885752         0
12:03:01 PM 493901368 494992888  33612704      6.37        24  14256584  71747316     13.39   3552816  21928128         0
12:03:03 PM 493932476 495024028  33581596      6.37        24  14219452  71650932     13.37   3552808  21896668         0
12:03:05 PM 493928720 495020240  33585352      6.37        24  14219616  71724536     13.38   3552796  21900980         0
12:03:07 PM 493885604 494977140  33628468      6.37        24  14256700  71609296     13.36   3552744  21942752         0
12:03:09 PM 493914980 495006432  33599092      6.37        24  14219232  71834516     13.40   3552744  21910888         0
12:03:11 PM 493876228 494967512  33637844      6.38        24  14256720  71707180     13.38   3552592  21953580         0
12:03:13 PM 493907064 494996908  33607008      6.37        24  14217536  71834928     13.40   3551080  21923564         0
12:03:15 PM 493904356 494993880  33609716      6.37        24  14217640  71747396     13.39   3550836  21927984         0
12:03:17 PM 493860660 494950124  33653412      6.38        24  14255104  71696364     13.38   3550836  21971324         0
12:03:19 PM 493898872 494984128  33615200      6.37        24  14213284  71700120     13.38   3546460  21937136         0
12:03:21 PM 493854676 494939796  33659396      6.38        24  14250420  71824944     13.40   3546324  21980956         0
12:03:23 PM 493889572 494974268  33624500      6.37        24  14212716  71551804     13.35   3546056  21947260         0
12:03:25 PM 493883052 494967084  33631020      6.38        24  14211932  71675996     13.37   3545292  21954032         0
12:03:27 PM 493839536 494923420  33674536      6.38        24  14249340  71493996     13.34   3545224  21996264         0
12:03:29 PM 493877308 494955476  33636764      6.38        24  14206056  71592584     13.36   3539380  21963772         0
12:03:31 PM 493836716 494914592  33677356      6.38        24  14243292  71618876     13.36   3539160  22005312         0
12:03:33 PM 493866620 494943304  33647452      6.38        24  14206644  71692152     13.38   3538008  21976368         0
12:03:35 PM 493861440 494937900  33652632      6.38        24  14204692  71796856     13.40   3537944  21981924         0
12:03:37 PM 493803956 494894300  33710116      6.39        24  14256228  71560548     13.35   3551992  22024808         0
12:03:39 PM 493842912 494933056  33671160      6.38        24  14218440  71655820     13.37   3551772  21986556         0
12:03:41 PM 493801096 494891188  33712976      6.39        24  14256080  71666172     13.37   3551788  22028832         0
12:03:43 PM 493832192 494922220  33681880      6.39        24  14218360  71709124     13.38   3551716  21997200         0
12:03:45 PM 493827504 494917472  33686568      6.39        24  14218472  71724844     13.38   3551640  22002312         0
