Linux 4.18.0-477.15.1.el8_8.x86_64 (bhm06) 	08/10/2023 	_x86_64_	(56 CPU)

05:19:00 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:27:28 AM     all      9.98      0.00     38.75      0.00      0.00     51.26
05:27:30 AM     all     10.85      0.00     37.10      0.00      0.00     52.05
05:27:32 AM     all     10.61      0.00     37.63      0.00      0.00     51.77
05:27:34 AM     all     10.30      0.00     38.05      0.00      0.00     51.65
05:27:36 AM     all     10.64      0.00     37.82      0.00      0.00     51.55
05:27:38 AM     all     10.61      0.00     37.31      0.00      0.00     52.07
05:27:40 AM     all     10.45      0.00     37.57      0.00      0.00     51.98
05:27:42 AM     all     10.70      0.00     38.16      0.00      0.00     51.14
05:27:44 AM     all     10.83      0.00     37.66      0.00      0.00     51.51
05:27:46 AM     all     10.47      0.00     38.07      0.00      0.00     51.47
05:27:48 AM     all     10.48      0.00     37.41      0.00      0.00     52.10
05:27:50 AM     all     10.58      0.00     38.12      0.00      0.00     51.29
05:27:52 AM     all     10.61      0.00     38.44      0.00      0.00     50.95
05:27:54 AM     all     10.53      0.00     37.89      0.00      0.00     51.57
05:27:56 AM     all     10.46      0.00     38.51      0.00      0.00     51.04
05:27:58 AM     all     10.70      0.00     37.34      0.00      0.00     51.96
05:28:00 AM     all     10.25      0.00     38.54      0.00      0.00     51.21
05:28:02 AM     all     10.82      0.00     38.11      0.00      0.00     51.08
05:28:04 AM     all     10.69      0.00     37.67      0.00      0.00     51.63
05:28:06 AM     all     10.53      0.00     38.21      0.00      0.00     51.26
05:28:08 AM     all     10.50      0.00     37.90      0.00      0.00     51.60
05:28:10 AM     all     10.59      0.00     37.58      0.00      0.00     51.83
05:28:12 AM     all     10.26      0.00     38.23      0.00      0.00     51.51
05:28:14 AM     all     10.06      0.00     38.11      0.00      0.00     51.84
05:28:16 AM     all     10.52      0.00     38.07      0.00      0.00     51.41
05:28:18 AM     all     10.17      0.00     38.31      0.00      0.00     51.52
05:28:20 AM     all     10.15      0.00     38.63      0.00      0.00     51.22
05:28:22 AM     all     10.79      0.00     37.22      0.00      0.00     51.99
05:28:24 AM     all     10.38      0.00     38.79      0.00      0.00     50.83
05:28:26 AM     all     10.06      0.00     37.88      0.00      0.00     52.07
05:28:28 AM     all     10.05      0.00     38.18      0.00      0.00     51.77
05:28:30 AM     all     10.50      0.00     37.51      0.00      0.00     51.99
05:28:32 AM     all     10.76      0.00     38.04      0.00      0.00     51.20
05:28:34 AM     all     10.18      0.00     38.79      0.00      0.00     51.03
05:28:36 AM     all     10.17      0.00     38.23      0.00      0.00     51.60
05:28:38 AM     all     10.71      0.00     37.38      0.00      0.00     51.91
05:28:40 AM     all     10.30      0.00     38.18      0.00      0.00     51.51
05:28:42 AM     all      9.94      0.00     37.67      0.00      0.00     52.39
05:28:44 AM     all     10.60      0.00     37.78      0.00      0.00     51.62
05:28:46 AM     all     10.38      0.00     38.02      0.00      0.00     51.60
05:28:48 AM     all     10.44      0.00     38.30      0.00      0.00     51.26
05:28:50 AM     all     10.48      0.00     38.31      0.00      0.00     51.21
05:28:52 AM     all     11.02      0.00     37.68      0.00      0.00     51.29
05:28:54 AM     all     10.08      0.00     38.12      0.00      0.00     51.80
05:28:56 AM     all     10.47      0.00     37.90      0.00      0.00     51.64
05:28:58 AM     all     10.64      0.00     38.00      0.00      0.00     51.37
05:29:00 AM     all     10.74      0.00     37.83      0.00      0.00     51.43
05:29:02 AM     all     10.28      0.00     37.60      0.00      0.00     52.11
05:29:04 AM     all     10.92      0.00     37.99      0.00      0.00     51.09
05:29:06 AM     all     10.75      0.00     37.23      0.00      0.00     52.02
05:29:08 AM     all     10.47      0.00     37.78      0.00      0.00     51.75
05:29:10 AM     all     10.80      0.00     37.38      0.00      0.00     51.82
05:29:12 AM     all     10.72      0.00     38.40      0.00      0.00     50.88
05:29:14 AM     all     10.26      0.00     37.91      0.00      0.00     51.84
